1,2,3,4,5,6,7,8,9,10
-83.8,-32.6,131.2,46,131.3,258.7,298.3,207,212.5,122.4
9,120.5,203.3,372.2,80.7,183.5,164,196.4,108.6,207.4
54.2,-1.6,140.2,72.4,227.7,81.4,51.2,114,112,185.8
-65.8,112.6,250.9,33.7,316,77.1,227.5,130.9,156.5,-61.5
61.1,88.4,-69.8,98.4,219.3,131.6,232.5,-22,184.7,408.4
-16.1,56.1,121.7,84.6,119.7,102.8,131.9,101.7,73.4,454.2
57.2,109.7,251.9,-42.3,138.8,108.8,273.8,234,120.7,94.1
6.3,246.5,73.8,100.9,185.1,217.2,144.8,60.6,130.7,144.2
-41.4,53.6,12,183.1,69.4,63.7,453,162.9,179.3,145.2
215.6,33.7,81.1,226.8,143.8,45.1,190.2,172.7,218.5,255
-1.9,54.2,114.2,188,100.5,233.7,-9.4,108.5,215.9,190.2
-1.9,60,103.7,173.7,144.4,110.5,49.7,191.4,245.5,342.6
-2,111,47.1,66.8,12.4,138.4,46.8,193.8,468,137
22.7,72.2,163.2,133.3,56.9,96.5,107.9,228.6,272.7,122.1
124.6,109.1,177.7,164.7,51.7,55.5,172.2,58.4,92.4,273.9
20.8,115.1,124.3,140.4,52.5,-184,246.6,101.1,108.3,242.3
16.9,26.7,18.5,-121.2,65.9,232.6,80.7,270.7,429,295.2
7.9,9.8,45.3,146.1,30.6,164.9,50,186.6,82.5,-26
50.8,64.3,211.5,182.9,95.8,100.6,81.9,239.5,92.6,57.7
65.9,10.1,127.6,104.8,-46.5,172.2,214.6,-74.2,150.2,172.4
23.9,-1.7,203.8,-352.1,155.3,223.6,306.9,111.5,112.7,106.4
23.9,-10.7,220.2,235.5,44.1,122.9,93.6,256,182.8,200.4
144.9,38,129.2,172.3,46.7,219.8,46.2,39.8,311.2,266.9
-2.9,20.6,18.8,-139.9,91.9,252.4,219.4,103.5,320.5,207.1
1.1,-1.7,63.1,127.2,42.2,44.5,37.2,210.4,254.2,99.9
-2,-2,-33.3,126.8,35.1,31.8,122.6,54.8,203.7,278.8
67.4,85.6,4.6,127.4,-77.7,-4.8,105.7,286.1,40.3,263.4
58.2,24.4,-4.9,125.2,162.2,133.4,142.7,166.9,106.5,108
58.4,10.3,8.1,24.5,98.8,-101.1,79.5,115,194.3,156.6
40.5,13.5,57.3,85.8,-69.7,152.8,58.6,158.4,175.8,86.1
90.2,112.7,34,124.2,11.8,110.8,143.5,101.5,172,97.8
0.1,116.8,-0.5,46,12.7,28.9,111.5,286,165.1,1.3
-0.3,24.4,83.3,75.3,84.3,90.9,118,49.9,132.4,142.4
-51.5,21.1,39.6,23.2,11.4,32.5,180.3,24.4,30.6,-72.3
-45.9,40.2,122.1,20.3,48.2,38.1,139.7,107.4,-12,76.5
13.5,193.9,-2,36.3,56.5,97.8,76.9,242.6,91,-21.1
11.9,16.6,45.8,51.3,11.3,207.5,-77,182.4,151.9,199.5
-1.2,8.7,43.6,125.3,0.2,39,6.6,67.5,258.5,206.7
-2,57.5,115.1,-1.4,26,67.7,38.7,151.3,228.2,59.5
14.9,33.1,5.9,115.1,89.5,42.5,74.6,100.6,328,46.4
-12,28.6,89.1,42.1,235.5,187.1,48,176.7,132.9,97.9
-2,106.9,66,51.2,15.6,8.2,163.6,157.5,-182.5,169.2
-1.2,42.7,-1.8,19.4,28.8,158.7,130.4,73.4,220,14.5
213.9,48.4,-2,148.8,155.8,18.6,66.7,100.1,71.3,169
-24.8,130.3,29.2,-115.6,34.1,39.3,83.1,210.8,176.1,208.4
-1.9,115.7,146,-1.6,105.2,33.9,-7.2,18.4,65.9,378.3
8.7,36.5,104.1,98.3,24.5,26.7,182.3,60.9,85.2,183.3
-1.9,93,140.4,117.4,219.6,82.5,111.4,37.6,132.6,148
-14.1,125.3,177.3,-7.3,21.7,71.8,177.3,41.8,10.2,308.8
-1.6,95.6,203.8,116.9,243.8,36.4,56.5,212.9,-33.5,63.3
30.6,155.8,63.6,108,182.6,6.4,187.7,72.2,121.8,161.7
-80.7,128.6,73,63.2,171,-32.5,133.4,105.4,122.9,265.1
3.7,103.7,119.8,-3.1,159.7,86.8,144.4,165.2,93,268.1
-3,99.8,79,0.5,109.1,80.4,32.5,172.4,100.4,205.4
-1.9,47.1,64.7,75.6,84.5,32.5,74,15,258.9,119
84.2,66.6,90,116,30.6,61.2,179.5,137.1,5.6,144
13.2,64.9,75.7,93.1,-67.1,183.8,149.4,75.3,119.2,150.5
-13,78.3,8.6,90.4,101.5,-18,1.2,194.1,129.2,204.8
-15.2,209.7,43,81.8,122.5,81.1,81.3,206.4,243.1,412.9
-2,37.8,58.9,28.9,173.3,119.7,136.4,90.1,81.4,355.6
-2,90.6,61.8,91.1,39.3,228.6,84.4,-17.3,175.1,277.6
111.2,131.5,22.7,160.7,153.6,91,20.6,296,4,181.8
-1.8,152,150.9,40,52.1,-63.9,191.1,108.6,79.2,16.1
26.8,164.8,-4,79.4,134.8,133.8,-5.2,136,153.5,69.1
48,48.4,60.5,188.4,32.2,101.7,191,103.9,219.3,71.6
21,129.8,39.2,204,176.5,67,42.4,118.2,180.5,58.5
43.4,88.8,107.4,-7.1,187.9,66.9,99.3,121.8,69.8,441.8
72,37,117.6,110.4,185.8,56.9,101,179.1,51.9,32.7
-22.4,82.1,103.1,73,-6.8,49.7,-59.8,52.8,59.1,39.2
43.1,63.6,-15.9,112,135.1,94.7,260.8,81,110.8,211
103.4,73,92.3,14.5,120.7,70.5,59.4,69,-182.8,249.9
-30.7,37.1,185,36,88.5,19,74.4,31.3,14.4,239.7
122.6,53.4,23.6,37.4,22.5,108.7,210.8,131.2,177.6,12.6
175,63.7,78.1,272.7,54.8,84.3,49.7,107.5,139.5,103
138.4,-4.9,71.2,117.7,81.8,169.2,398.3,269.3,234,70
-2.6,36.3,60.3,80.9,-137.6,117,146.3,151.6,52.1,-55.4
-223.7,94.7,58.6,305.7,41.2,142.3,244.2,-45.3,191.4,222.4
38.6,72.4,99.2,273.8,70.1,70.3,161.5,33.3,183.5,211.2
32.5,95.4,42.5,134.7,94.2,128.9,123.5,133.4,199.5,81.4
16.9,195.6,74.3,-47.5,66.6,80.9,62,184.3,168.7,57.4
111.1,101.3,20.7,122,78.3,23,281.2,209.6,135.5,225.7
-9.1,-33.1,70.3,40.1,239.9,40.5,221,164.9,-36,153.8
84.4,46,237.6,157.1,22.2,191.9,182.7,93.7,57.6,145.4
67.6,178.3,128,109.9,29.5,7.6,258.5,85.7,294.1,-47.2
48.1,0.8,183.1,264.4,180.1,25.3,199.6,225.3,-55,269.2
25.3,106,275.6,84,313.6,162.6,146.5,284.7,49.7,257.6
3.2,165.6,157,165.8,151.7,-38.1,20.3,-1.1,56,29.9
-2,85.6,117.5,80,172.7,186.4,61.9,133.9,201.3,217.6
-2,6.6,345,123.9,75.4,40.6,191.7,266.9,122.6,137.8
7.5,86.2,37.3,180.3,297.6,122.6,123.1,115.2,352.1,116.5
51.3,20,95.6,161.4,255.9,47.6,-134.9,134.1,192.2,395.3
47.8,184.6,48.4,131.6,101.7,264.2,145.7,77.8,186.1,23.9
44.6,160.2,172.8,141.3,288.5,117.7,169.9,57.3,470,22.2
216.9,61,175,47.5,60.7,231.2,53.2,154.6,75.9,151.3
66.1,190.7,85.7,35,48,222.3,187.6,184.7,246,-16.3
15.5,-13.5,-43.9,137.4,318.3,91.7,343.2,132.4,197.7,150.2
44.1,75.6,103.9,181.9,101.9,444.5,78.9,155.2,199.9,74.5
41.4,281.7,139.3,95.4,187.1,174.2,183.1,216.7,174.8,294.1
75,70.8,50.7,136.2,120.1,161.5,188.1,-8.9,62.4,246.3
15.2,63.5,122.4,284.7,92.8,261.1,-83.8,163.8,147.7,95.4
89.5,108.5,120.7,43.4,164.9,-2,122.1,127.5,222.7,250.9
70.1,97.7,46.5,254.6,25.3,196.3,148,195.3,113,144.5
-0.4,-32.1,77.7,93.9,44.5,87.1,88,109,110.7,209.3
-18.7,127,159.5,90.3,141.7,-43.7,88,214.6,175.3,167.1
22.8,66.8,43.1,138.3,132.4,-5.9,150.1,286.3,110,243.9
41.2,129,139.9,-220.8,23.2,209.9,123.2,234.7,112.2,356.8
138.2,27.9,-22.2,4.5,181.5,155.5,374.2,170.8,-30.2,210.2
30.7,102.6,194.2,143.6,81.3,159.9,,86.6,105.3,208.4
54.4,82.4,96.2,179.6,-19.9,189.8,,204.2,137.3,204.2
-73,-66.9,83.2,68,75.9,21,,149.5,153,319
-30.8,,50.6,22.5,165.7,189.5,,185.4,75.1,-31.6
-51.3,,224.9,49.6,58.5,177.6,,105,266.9,158.5
57.8,,,,,148.8,,260.4,424.4,199.3
,,,,,255.6,,224.4,,181.2
,,,,,,,291.5,,
